"Supplied Name","guid","scientificName","family","kingdom","vernacular name","Grouping"
"Caladenia audasii","http://id.biodiversity.org.au/node/apni/2886433","Caladenia audasii","Orchidaceae",,"McIvor Spider-orchid","Flora"
"Notopala sublineata","urn:lsid:biodiversity.org.au:afd.taxon:c77bc925-6cd1-49ce-9cb3-b0e1ab5dbf35","Notopala sublineata","Viviparidae",,"River Snail","Aquatic Fauna"
"Ramiheithrus virgatus","urn:lsid:biodiversity.org.au:afd.taxon:f5da9f9f-f7e0-49c5-a0d0-ffa163e3f0e5","Ramiheithrus virgatus","Philorheithridae",,"Caddisfly","Aquatic Fauna"
"Calyptorhynchus lathami lathami","urn:lsid:biodiversity.org.au:afd.taxon:61461228-28c3-4174-ab6e-ac5a57daf4f9","Calyptorhynchus (Calyptorhynchus) lathami lathami","Cacatuidae",,"Glossy Black-Cockatoo","Terrestrial Fauna (nesting and/or breeding records only)"
"Synamphisopus doegi","urn:lsid:biodiversity.org.au:afd.taxon:3b986c6d-acbc-4a7a-87c4-342c56bebf8f","Synamphisopus doegi","Amphisopodidae",,"Phreatoicid Isopod","Aquatic Fauna"
"Bossiaea vombata","http://id.biodiversity.org.au/node/apni/2905805","Bossiaea vombata","Fabaceae",,"Wombat Bossiaea",
"Galaxias aequipinnis","urn:lsid:biodiversity.org.au:afd.taxon:ec23a8e8-87e4-498b-bacb-5884fcb68bf7","Galaxias aequipinnis","Galaxiidae",,"East Gippsland Galaxias","Aquatic Fauna"
"Galaxias gunaikurnai","urn:lsid:biodiversity.org.au:afd.taxon:dd9ccbd9-2b23-4e64-8a68-ec70e2146770","Galaxias gunaikurnai","Galaxiidae",,"Shaw Galaxias","Aquatic Fauna"
"Galaxias lanceolatus","urn:lsid:biodiversity.org.au:afd.taxon:bedc6085-4580-4c8a-bdda-27ba84837819","Galaxias lanceolatus","Galaxiidae",,"Tapered Galaxias","Aquatic Fauna"
"Galaxias longifundus","urn:lsid:biodiversity.org.au:afd.taxon:7c3782b3-ada2-42e4-8a2b-3201a779e7f3","Galaxias longifundus","Galaxiidae",,"West Gippsland Galaxias","Aquatic Fauna"
"Galaxias mcdowalli","urn:lsid:biodiversity.org.au:afd.taxon:ea57b0eb-be75-4151-9a28-d1e87c9075df","Galaxias mcdowalli","Galaxiidae",,"McDowall's Galaxias","Aquatic Fauna"
"Galaxias mungadhan","urn:lsid:biodiversity.org.au:afd.taxon:4bfad4eb-5bc5-4087-873a-b8976be9d7bd","Galaxias mungadhan","Galaxiidae",,"Dargo Galaxias","Aquatic Fauna"
"Galaxias terenasus","urn:lsid:biodiversity.org.au:afd.taxon:c2bcc474-938b-4a02-aeaf-59f22483ff7c","Galaxias terenasus","Galaxiidae",,"Roundsnout Galaxias","Aquatic Fauna"
"Pedionomus torquatus","urn:lsid:biodiversity.org.au:afd.taxon:bc6f97c7-b94a-4622-8f13-bd063c02ff41","Pedionomus torquatus","Pedionomidae",,"Plains-wanderer","Terrestrial fauna"
"Philoria frosti","urn:lsid:biodiversity.org.au:afd.taxon:c0bc8e92-27b5-44a4-af1a-f7605aee5e5d","Philoria frosti","Limnodynastidae",,"Baw Baw Frog","Terrestrial fauna"
"Pseudocalliax tooradin","urn:lsid:biodiversity.org.au:afd.taxon:a51a75fa-044d-40ee-86de-d0d3807d8169","Pseudocalliax tooradin","Callianassidae",,"Ghost Shrimp","Aquatic invertebrates"
