"Supplied Name","guid","scientificName","family","kingdom","family","genus","order","taxonRank","class"
"Carmichaelia nigrans G.Simpson","NZOR-4-15759","Carmichaelia juncea","Fabaceae",,"Leguminosae","Carmichaelia","Fabales","species","Magnoliopsida"
"Swainsona novae-zelandiae Hook.f.","NZOR-4-123307","Montigena novae-zelandiae","Leguminosae",,"Leguminosae","Montigena","Fabales","species","Magnoliopsida"
"Tmesipteris horomaka Perrie, Brownsey & Lovis","NZOR-4-130886","Tmesipteris horomaka","Psilotaceae",,"Psilotaceae","Tmesipteris","Psilotales","species","Psilotopsida"
"Astelia chathamica (Skottsb.) L.B.Moore","NZOR-4-3095","Astelia chathamica","Asteliaceae",,"Asteliaceae","Astelia","Asparagales","species","Magnoliopsida"
"Nephrolepis cordifolia var. lauterbachii Christ","http://id.biodiversity.org.au/node/apni/2890802","Nephrolepis flexuosa","Lomariopsidaceae",,"Lomariopsidaceae","Nephrolepis","Polypodiales","variety","Polypodiopsida"
"Myosotis pygmaea var. minutiflora G.Simpson & J.S.Thomson","NZOR-4-124925","Myosotis pygmaea var. minutiflora","Boraginaceae",,"Boraginaceae","Myosotis",,"variety","Magnoliopsida"
"Pimelea aridula subsp. oliga C.J.Burrows","NZOR-4-73207","Pimelea aridula subsp. oliga","Thymelaeaceae",,"Thymelaeaceae","Pimelea","Malvales","subspecies","Magnoliopsida"
"Heimerliodendron brunonianum (Endl.) Skottsb.","http://id.biodiversity.org.au/node/apni/2901305","Pisonia brunoniana","Nyctaginaceae",,"Nyctaginaceae","Pisonia","Caryophyllales","species","Magnoliopsida"
"Cyperus insularis Heenan & de Lange","NZOR-4-70833","Cyperus insularis","Cyperaceae",,"Cyperaceae","Cyperus","Poales","species","Magnoliopsida"
"Angelica dieffenbachii (F.Muell.) Benth. & Hook.f.","NZOR-4-102313","Aciphylla dieffenbachii","Apiaceae",,"Umbelliferae","Aciphylla","Apiales","species","Magnoliopsida"
"Pimelea villosa Sol. ex Sm.","NZOR-4-88987","Pimelea villosa","Thymelaeaceae",,"Thymelaeaceae","Pimelea","Malvales","species","Magnoliopsida"
"Eleocharis neozelandica C.B.Clarke ex Kirk","NZOR-4-21437","Eleocharis neozelandica","Cyperaceae",,"Cyperaceae","Eleocharis","Poales","species","Magnoliopsida"
"Isolepis basilaris Hook.f.","NZOR-4-64065","Isolepis basilaris","Cyperaceae",,"Cyperaceae","Isolepis","Poales","species","Magnoliopsida"
"Gastrodia hectorii Buchanan","NZOR-4-22160","Prasophyllum hectorii","Orchidaceae",,"Orchidaceae","Prasophyllum","Asparagales","species","Magnoliopsida"
"Pteris falcata R.Br.","http://id.biodiversity.org.au/node/apni/2915450","Pellaea falcata","Pteridaceae",,"Pteridaceae","Pellaea","Polypodiales","species","Polypodiopsida"
"Rorippa stylosa (DC.) Allan","http://id.biodiversity.org.au/node/apni/2920330","Rorippa gigantea","Brassicaceae",,"Cruciferae","Rorippa","Brassicales","species","Magnoliopsida"
"Deschampsia penicillata Kirk","http://id.biodiversity.org.au/node/apni/2909801","Deschampsia cespitosa","Poaceae",,"Gramineae","Deschampsia","Poales","species","Magnoliopsida"
"Lepidium oleraceum var. serrulatum Thell.","NZOR-4-116851","Lepidium oleraceum var. serrulatum","Brassicaceae",,"Cruciferae","Lepidium","Brassicales","variety","Magnoliopsida"
"Myosotis hortensia Decne.","NZOR-4-32928","Myosotidium hortensia","Boraginaceae",,"Boraginaceae","Myosotidium",,"species","Magnoliopsida"
"Carmichaelia prona Kirk","NZOR-4-15759","Carmichaelia juncea","Fabaceae",,"Leguminosae","Carmichaelia","Fabales","species","Magnoliopsida"
"Thelypteris interrupta (Willd.) K.Iwats.","http://id.biodiversity.org.au/node/apni/2906665","Cyclosorus interruptus","Thelypteridaceae",,"Thelypteridaceae","Cyclosorus","Polypodiales","species","Polypodiopsida"
"Sideroxylon costatum (Endl.) F.Muell.","http://id.biodiversity.org.au/node/apni/2900808","Planchonella costata","Sapotaceae",,"Sapotaceae","Planchonella","Ericales","species","Magnoliopsida"
"Nephrodium propinquum R.Br.","http://id.biodiversity.org.au/node/apni/2906665","Cyclosorus interruptus","Thelypteridaceae",,"Thelypteridaceae","Cyclosorus","Polypodiales","species","Polypodiopsida"
"Trisetum antarcticum (G.Forst.) Trin. var. antarcticum","NZOR-4-41491","Trisetum antarcticum","Poaceae",,"Gramineae","Trisetum","Poales","variety","Magnoliopsida"
"Oreomyrrhis basicola Heenan & Molloy","NZOR-4-90183","Oreomyrrhis basicola","Apiaceae",,"Umbelliferae","Chaerophyllum","Apiales","species","Magnoliopsida"
"Dichelachne crinita var. intermedia Hack. ex Cheeseman","http://id.biodiversity.org.au/node/apni/2909052","Dichelachne micrantha","Poaceae",,"Gramineae","Dichelachne","Poales","variety","Magnoliopsida"
"Carmichaelia curta Petrie","NZOR-4-11737","Carmichaelia curta","Fabaceae",,"Leguminosae","Carmichaelia","Fabales","species","Magnoliopsida"
"Lepidium tenuicaule Kirk","NZOR-4-64527","Lepidium tenuicaule","Brassicaceae",,"Cruciferae","Lepidium","Brassicales","species","Magnoliopsida"
"Carmichaelia williamsii Kirk","NZOR-4-9112","Carmichaelia williamsii","Fabaceae",,"Leguminosae","Carmichaelia","Fabales","species","Magnoliopsida"
"Pimelea xenica C.J.Burrows","NZOR-4-31212","Pimelea xenica","Thymelaeaceae",,"Thymelaeaceae","Pimelea","Malvales","species","Magnoliopsida"
"Pimelea virgata Vahl","NZOR-4-21492","Pimelea tomentosa","Thymelaeaceae",,"Thymelaeaceae","Pimelea","Malvales","species","Magnoliopsida"
"Myosotis petiolata Hook.f. var. petiolata","NZOR-4-17209","Myosotis petiolata Hook.f. var. petiolata","Boraginaceae",,"Boraginaceae","Myosotis",,"variety","Magnoliopsida"
"Carmichaelia gracilis J.B.Armstr.","NZOR-4-17630","Carmichaelia kirkii","Fabaceae",,"Leguminosae","Carmichaelia","Fabales","species","Magnoliopsida"
"Notospartium carmichaeliae Hook.f.","NZOR-4-24775","Carmichaelia carmichaeliae","Fabaceae",,"Leguminosae","Carmichaelia","Fabales","species","Magnoliopsida"
"Carmichaelia vexillata Heenan","NZOR-4-54819","Carmichaelia vexillata","Fabaceae",,"Leguminosae","Carmichaelia","Fabales","species","Magnoliopsida"
"Adiantum formosum R.Br.","http://id.biodiversity.org.au/node/apni/2905978","Adiantum formosum","Pteridaceae",,"Pteridaceae","Adiantum","Polypodiales","species","Polypodiopsida"
"Lepidium tenuicaule Kirk var. tenuicaule","NZOR-4-64527","Lepidium tenuicaule","Brassicaceae",,"Cruciferae","Lepidium","Brassicales","variety","Magnoliopsida"
"Heliohebe lavaudiana (Raoul) Garn.-Jones","NZOR-4-4615","Heliohebe lavaudiana","Plantaginaceae",,"Scrophulariaceae","Heliohebe","Lamiales","species","Magnoliopsida"
"Brachyscome lineata Kirk","NZOR-4-20560","Brachyscome linearis","Asteraceae",,"Compositae","Brachyscome","Asterales","species","Magnoliopsida"
"Chenopodium pusillum Hook.f.","NZOR-4-4326","Chenopodium pusillum","Chenopodiaceae",,"Amaranthaceae","Dysphania","Caryophyllales","species","Magnoliopsida"
"Senecio scaberulus (Hook.f.) D.G.Drury","NZOR-4-101484","Senecio scaberulus","Asteraceae",,"Compositae","Senecio","Asterales","species","Magnoliopsida"
"Coprosma wallii Petrie in Cheeseman","NZOR-4-42466","Coprosma wallii","Rubiaceae",,"Rubiaceae","Coprosma","Gentianales","species","Magnoliopsida"
"Carmichaelia carmichaeliae (Hook.f.) Heenan","NZOR-4-24775","Carmichaelia carmichaeliae","Fabaceae",,"Leguminosae","Carmichaelia","Fabales","species","Magnoliopsida"
"Olearia virgata var. ? Hook.f.","ALA_Olearia_virgata_var_Hook_f","Olearia virgata var. ? Hook.f.",,,"Compositae","Olearia","Asterales","variety","Magnoliopsida"
"Connorochloa tenuis (Buchanan) Barkworth, S.W.L.Jacobs & H.Q.Zhang","NZOR-4-89831","Connorochloa tenuis","Poaceae",,"Gramineae","Connorochloa","Poales","species","Magnoliopsida"
"Eurybia traversii F.Muell.","NZOR-4-39781","Olearia traversiorum","Asteraceae",,"Compositae","Olearia","Asterales","species","Magnoliopsida"
"Coprosma obconica Kirk subsp. obconica","ALA_Coprosma_obconica_Kirk_subsp_obconica","Coprosma obconica Kirk subsp. obconica",,,"Rubiaceae","Coprosma","Gentianales","subspecies","Magnoliopsida"
"Erechtites scaberula Hook.f.","NZOR-4-101484","Senecio scaberulus","Asteraceae",,"Compositae","Senecio","Asterales","species","Magnoliopsida"
"Carex uncifolia Cheeseman","NZOR-4-41396","Carex uncifolia","Cyperaceae",,"Cyperaceae","Carex","Poales","species","Magnoliopsida"
"Anguillaria novae-zelandiae Kirk","NZOR-4-106384","Iphigenia novae-zelandiae","Colchicaceae",,"Colchicaceae","Iphigenia","Liliales","species","Magnoliopsida"
"Ophioglossum elongatum R.Cunn. ex A.Cunn.","http://id.biodiversity.org.au/node/apni/2888811","Ophioglossum reticulatum","Ophioglossaceae",,"Ophioglossaceae","Ophioglossum","Ophioglossales","species","Psilotopsida"
"Sersalisia costata (Endl.) Domin","http://id.biodiversity.org.au/node/apni/2900808","Planchonella costata","Sapotaceae",,"Sapotaceae","Planchonella","Ericales","species","Magnoliopsida"
