"Supplied Name","guid","scientificName","family","kingdom","vernacular name","family","TSC Status","TSC Status Description","taxonRemarks","Reason","category","generalisation"
"Pterostylis pulchella Messmer ","http://id.biodiversity.org.au/node/apni/2920806","Pterostylis pulchella","Orchidaceae",,"Waterfall Greenhood","Orchidaceae","V","Vulnerable",,"Risk of disturbance and collection","2","10km"
"Phaius australis F. Muell.","http://id.biodiversity.org.au/node/apni/2910902","Phaius australis","Orchidaceae",,"Southern Swamp Orchid","Orchidaceae","E1","Endangered",,"Risk of disturbance and collection","2","10km"
"Hoplocephalus bungaroides","urn:lsid:biodiversity.org.au:afd.taxon:1370c704-38f0-4c57-a354-57fadec0936b","Hoplocephalus bungaroides","Elapidae",,,"Elapidae","E1","Endangered",,"Risk of collection","2","10km"
"Platyzoma microphyllum R. Br. ","http://id.biodiversity.org.au/node/apni/2916514","Platyzoma microphyllum","Pteridaceae",,"Braid Fern","Platyzomataceae","E1","Endangered",,"Risk of disturbance","3","1km"
"Diuris flavescens D.L. Jones ","http://id.biodiversity.org.au/name/apni/117438","Diuris flavescens",,,"Pale Yellow Doubletail","Orchidaceae","E4A","Critically Endangered",,"Risk of disturbance and collection","2","10km"
"Prostanthera marifolia R. Br.","http://id.biodiversity.org.au/node/apni/2897722","Prostanthera marifolia","Lamiaceae",,"Seaforth Mintbush","Lamiaceae","E4A","Critically Endangered",,"Risk of disturbance","3","1km"
"Trachymene scapigera (Domin) B.L.Burtt ","http://id.biodiversity.org.au/node/apni/2903508","Trachymene scapigera","Araliaceae",,"Mountain Trachymene","Apiaceae","E1","Endangered",,"Risk of disturbance","3","1km"
"Calochilus pulchellus D.L.Jones","http://id.biodiversity.org.au/name/apni/205215","Calochilus pulchellus",,,"Pretty Beard Orchid","Orchidaceae","E1","Endangered",,"Risk of disturbance and collection","2","10km"
"Arthropteris palisotii (Desv.) Alston ","http://id.biodiversity.org.au/node/apni/8496980","Arthropteris palisotii","Tectariaceae",,"Lesser Creeping Fern","Davalliaceae","E1","Endangered",,"Risk of disturbance","3","1km"
"Leionema lamprophyllum subsp. obovatum F.M. Anderson","http://id.biodiversity.org.au/node/apni/2906924","Leionema lamprophyllum subsp. obovatum","Rutaceae",,"Shiny Phebalium","Rutaceae","E2","Endangered Population",,"Risk of illegal collection","2","10km"
"Lophochroa leadbeateri","urn:lsid:biodiversity.org.au:afd.taxon:0217f06f-664c-4c64-bc59-1b54650fa23d","Lophochroa leadbeateri","Cacatuidae",,,"Cacatuidae","V","Vulnerable",,"Risk of egg collection and nest disturbance","2","10km"
