"Supplied Name","guid","scientificName","family","kingdom","scientificNameAuthorship","taxonId","vernacular name"
"Lindsaea pulchella var. blanda","http://id.biodiversity.org.au/node/apni/2903389","Lindsaea pulchella var. blanda","Lindsaeaceae",,"(Mett. ex Kuhn) K.U.Kramer","12057",
"Thelymitra media var. media","http://id.biodiversity.org.au/name/apni/115940","Thelymitra media var. media",,,"R.Br.","12674","tall sun orchid"
"Epipogium","http://id.biodiversity.org.au/node/apni/2901907","Epipogium","Orchidaceae",,,"20684",
"Cophixalus petrophilus","urn:lsid:biodiversity.org.au:afd.taxon:fc5a6301-701d-4e0f-92e6-506423ea38f3","Cophixalus petrophilus","Microhylidae",,"Hoskin, 2013","34968","blotched boulder-frog"
"Arthrochilus lavarackianus","http://id.biodiversity.org.au/name/apni/204405","Arthrochilus lavarackiana",,,"(D.L.Jones) Lavarack","31121",
"Cycas desolata","http://id.biodiversity.org.au/node/apni/2904097","Cycas desolata","Cycadaceae",,"P.I.Forst.","6326",
"Acianthus","http://id.biodiversity.org.au/node/apni/2909274","Acianthus","Orchidaceae",,,"9655",
"Cadetia wariana","http://id.biodiversity.org.au/name/apni/89540","Cadetia wariana",,,"Schltr.","13493",
"Calochilus campestris","NZOR-4-7111","Calochilus campestris","Orchidaceae",,"R.Br.","14140","copper beard orchid"
"Eriochilus","http://id.biodiversity.org.au/node/apni/2920154","Eriochilus","Orchidaceae",,,"12802",
"Dendrobium canaliculatum","http://id.biodiversity.org.au/name/apni/85247","Dendrobium canaliculatum",,,"R.Br.","17449",
"Elusor macrurus","urn:lsid:biodiversity.org.au:afd.taxon:198472f4-a9f0-42b9-8540-838cd532abe1","Elusor macrurus","Chelidae",,"Cann & Legler, 1994","56","Mary River turtle"
"Didymoglossum mindorense","http://id.biodiversity.org.au/node/apni/7407357","Didymoglossum mindorense","Hymenophyllaceae",,"(Christ) Ebihara & K.Iwats.","33356",
"Caladenia chamaephylla","http://id.biodiversity.org.au/name/apni/147267","Caladenia chamaephylla",,,"D.L.Jones","2326",
"Euastacus monteithorum","urn:lsid:biodiversity.org.au:afd.taxon:13ecd025-0909-4b04-9c8e-24fe4dce68c7","Euastacus monteithorum","Parastacidae",,"Morgan, 1989","33596",
"Genoplesium tectum","http://id.biodiversity.org.au/node/apni/2908787","Genoplesium tectum","Orchidaceae",,"D.L.Jones","8485",
"Oberonia carnosa","http://id.biodiversity.org.au/name/apni/84620","Oberonia carnosa",,,"Lavarack","10464",
"Bulbophyllum nematopodum","http://id.biodiversity.org.au/name/apni/69660","Bulbophyllum nematopodum",,,"F.Muell.","13489",
"Thelypteris confluens","http://id.biodiversity.org.au/node/apni/2913519","Thelypteris confluens","Thelypteridaceae",,"(Thunb.) C.V.Morton","16042",
"Cycas megacarpa","http://id.biodiversity.org.au/node/apni/2913264","Cycas megacarpa","Cycadaceae",,"K.D.Hill","8445",
"Pterostylis boormanii",,,,,"Rupp","12691",
"Pterostylis acuminata","http://id.biodiversity.org.au/name/apni/73951","Pterostylis acuminata",,,"R.Br.","12690","sharp greenhood"
"Chlamydogobius squamigenus","urn:lsid:biodiversity.org.au:afd.taxon:4bb0a245-1ce7-4564-800d-34a33b4cc6b5","Chlamydogobius squamigenus","Gobiidae",,"Larson, 1995","18164","Edgbaston goby"
"Diuris","http://id.biodiversity.org.au/node/apni/2919712","Diuris","Orchidaceae",,,"12798",
"Pseudovanilla","http://id.biodiversity.org.au/node/apni/2912652","Pseudovanilla","Orchidaceae",,,"21359",
"Caladenia filamentosa","http://id.biodiversity.org.au/name/apni/91308","Caladenia filamentosa",,,,"19764",
"Thelymitra pauciflora","NZOR-4-126119","Thelymitra pauciflora","Orchidaceae",,"R.Br.","12675","slender sun orchid"
"Oberonia complanata","http://id.biodiversity.org.au/name/apni/84629","Oberonia complanata",,,"(A.Cunn.) M.A.Clem. & D.L.Jones","9017",
"Epidendrum x obrienianum","http://id.biodiversity.org.au/name/apni/87909","Epidendrum x obrienianum",,,"Rolfe","9135",
"Dendrobium smillieae","http://id.biodiversity.org.au/name/apni/86391","Dendrobium smillieae",,,"F.Muell.","12840",
"Pterostylis daintreana","http://id.biodiversity.org.au/name/apni/74490","Pterostylis daintreana",,,"F.Muell. ex Benth.","13105",
"Trachoma stellatum","http://id.biodiversity.org.au/name/apni/58412","Trachoma stellatum",,,"M.A.Clem., D.L.Jones, B.Gray & J.J.Wood","8183",
"Emydura macquarii emmotti","urn:lsid:biodiversity.org.au:afd.taxon:5959907b-99e3-4a72-bdd5-8417cabaeec0","Emydura macquarii emmotti","Chelidae",,"Cann, McCord & Joseph-Ouni, 2003","27777","Emmott's short-neck turtle"
"Cycas ophiolitica","http://id.biodiversity.org.au/node/apni/2914888","Cycas ophiolitica","Cycadaceae",,"K.D.Hill","8437","Marlborough blue"
"Orthoceras strictum","NZOR-4-26677","Orthoceras strictum","Orchidaceae",,"R.Br.","12790","horned orchid"
"Amytornis rowleyi","ALA_Amytornis_rowleyi","Amytornis rowleyi",,,"(Gould, 1840)","1568","rusty grasswren"
"Schoenorchis","http://id.biodiversity.org.au/node/apni/2890702","Schoenorchis","Orchidaceae",,,"21472",
"Cyathea exilis","http://id.biodiversity.org.au/node/apni/2910355","Cyathea exilis","Cyatheaceae",,"Holttum","9023",
"Diplazium pallidum","http://id.biodiversity.org.au/node/apni/2887112","Diplazium pallidum","Woodsiaceae",,"(Blume) T.Moore","12083",
"Amytornis barbatus diamantina","urn:lsid:biodiversity.org.au:afd.taxon:c0eff8b5-fd7c-430d-93e2-29e672ad2454","Amytornis (Maluropsis) barbatus diamantina","Maluridae",,"Schodde & Christidis, 1987","29886","grey grasswren (Lake Eyre basin)"
"Litoria kroombitensis","urn:lsid:biodiversity.org.au:afd.taxon:510535b0-4d34-465f-bbdc-02b276621e66","Litoria kroombitensis","Hylidae",,"Hoskin, Hines, Meyer, Clarke & Cunningham, 2013","18279","Kroombit treefrog"
"Dockrillia nugentii","http://id.biodiversity.org.au/name/apni/178988","Dockrillia nugentii",,,"(F.M.Bailey) M.A.Clem. & D.L.Jones","5804",
"Nervilia peltata","http://id.biodiversity.org.au/name/apni/123166","Nervilia peltata",,,"B.Gray & D.L.Jones","6517",
"Dendrobium aemulum","http://id.biodiversity.org.au/name/apni/84852","Dendrobium aemulum",,,"R.Br.","13280","ironbark orchid"
